,return-date,order-id,sku,asin,fnsku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
0,2020-07-10T10:22:18+00:00,113-5704183-7856203,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,DEFECTIVE,MISSING_PARTS,Reimbursed,LPNPM202475979,cable missing
1,2020-07-10T07:21:36+00:00,113-5681279-7985840,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,CUSTOMER_DAMAGED,SWITCHEROO,Reimbursed,LPNPM208340778,
2,2020-07-08T20:16:58+00:00,114-5172772-0242637,PB-AAA,B08267BBJT,B08267BBJT,1,IND8,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNN718303584,1 of the 4 batteries is 0.0v (dead on arrival).
3,2020-07-08T07:40:43+00:00,111-5918530-7037818,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,CUSTOMER_DAMAGED,SWITCHEROO,Unit returned to inventory,LPNPM202301175,
4,2020-07-03T11:16:59+00:00,114-8687774-9880227,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNPM192580062,
5,2020-06-30T23:05:05+00:00,113-6266065-5575418,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNPM201730955,
6,2020-06-30T19:28:59+00:00,112-8830352-4249835,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,Unit returned to inventory,LPNPM194408911,
7,2020-06-28T04:27:14+00:00,111-0281318-0043420,PB-AAA,B08267BBJT,B08267BBJT,1,IND8,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNN710495461,Does not work / defective.
8,2020-06-25T13:28:10+00:00,114-3273466-1465048,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNPM011274258,Some of the batteries will not recharge
9,2020-06-24T10:22:37+00:00,112-0125063-1509826,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNPM185756544,Donít batteries interfere with radio frequency headset
10,2020-06-19T18:18:41+00:00,114-8815402-5693832,PB-AA,B08268F6XN,B08268F6XN,1,IND8,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNN701719903,do not work well for intended device
11,2020-06-19T08:39:45+00:00,114-6515970-6867454,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNPM196998746,Some of the batteries will not recharge
12,2020-06-16T02:42:59+00:00,113-9184122-9019433,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNPM190737375,
13,2020-06-11T11:16:50+00:00,114-7687541-3472260,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,CUSTOMER_DAMAGED,SWITCHEROO,Unit returned to inventory,LPNPM143575100,
14,2020-06-11T11:16:50+00:00,114-7687541-3472260,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,CUSTOMER_DAMAGED,SWITCHEROO,Unit returned to inventory,LPNPM143575101,
15,2020-05-30T07:47:43+00:00,112-9644681-5370625,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,CUSTOMER_DAMAGED,SWITCHEROO,Unit returned to inventory,LPNPM161633141,
16,2020-05-22T19:16:13+00:00,111-5919249-2500220,PB-AA,B08268F6XN,B08267BBJT,1,IND8,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNN701388768,Second time received wrong item box labeled AA but AAA in box I put a note in box that was shipped back stating wrong item wrong box
17,2020-05-22T19:16:13+00:00,111-5919249-2500220,PB-AA,B08268F6XN,B08267BBJT,1,IND8,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNN701388769,Second time received wrong item box labeled AA but AAA in box I put a note in box that was shipped back stating wrong item wrong box
18,2020-05-18T15:16:09+00:00,111-4170328-2691456,PB-AA,B08268F6XN,B08268F6XN,1,IND8,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNN662012854,
